object	parent	materials	center_x	center_y	center_z	size_x	size_y	size_z	vertices
Object_9	hub_rb_hub_rb.0_0_5	hub_rb.0	89.893	-163.453	-37.290	16.418	11.530	17.334	3318
Object_12	hub_lb_hub_rb.0_0_7	hub_rb.0	-89.826	-163.453	-37.290	16.418	11.530	17.334	3318
Object_15	hub_rf_hub_rf.0_0_9	hub_rf.0	96.720	160.239	-37.267	13.090	15.192	37.237	2093
Object_17	hub_rf_hub_rf.1_0_10	hub_rf.1	103.372	159.277	-36.197	0.000	2.913	13.614	4
Object_20	hub_lf_hub_rf.0_0_12	hub_rf.0	-95.580	160.258	-37.067	13.091	15.232	37.241	2093
Object_22	hub_lf_hub_rf.1_0_13	hub_rf.1	-102.194	159.100	-36.222	0.000	2.896	13.582	4
Object_26	dvorright_dvorright.0_0_16	dvorright.0	36.192	145.424	19.899	94.174	33.924	29.873	2629
Object_30	dvorleft_dvorright.0_0_19	dvorright.0	-23.559	146.315	19.873	98.582	17.423	15.637	2574
Object_34	movsteer_1.0_movsteer_1.0.1_0_22	movsteer_1.0.1	-46.936	61.929	16.935	6.969	2.489	6.502	647
Object_36	movsteer_1.0_movsteer_1.0.0_0_23	movsteer_1.0.0	-46.938	67.111	15.790	42.338	24.997	42.541	3771
Object_38	movsteer_1.0_dvorright.0_0_24	dvorright.0	-46.923	66.233	13.480	26.670	14.443	19.688	420
Object_42	chassis_chassis.0_0_27	chassis.0	-0.000	-49.851	-49.213	208.617	0.013	0.000	6
Object_45	JUST_BLACK_JUST_BLACK.0_0_29	dvorright.0	0.021	44.622	4.740	191.708	434.705	119.854	530
Object_48	JUST_BLACK.001_JUST_BLACK.0_0_31	dvorright.0	0.026	-205.060	1.438	215.315	105.601	101.855	473
Object_51	body_primary_0_33	Paint	0.022	11.110	9.549	218.315	469.007	138.300	25968
Object_54	bodysills_primary.001_0_35	Paint.001	0.026	-9.557	12.934	213.930	255.788	124.139	5915
Object_57	black_lights_black_lights.0_0_37	dvorright.0	0.026	-217.585	20.778	186.071	46.055	18.922	3550
Object_60	_satin_black_134_black_lights.0_0_39	dvorright.0	0.026	219.655	1.711	187.756	53.795	23.815	3076
Object_63	_plastic_black_124_black_lights.0_0_41	dvorright.0	0.026	-213.083	49.724	75.256	10.313	1.952	536
Object_66	back_chrome_light_back_chrome_light.0_0_43	back_chrome_light.0	0.018	-228.675	20.337	183.386	20.126	16.735	3078
Object_69	pantulans_pantulans.0_0_45	pantulans.0	0.026	-212.921	22.399	183.700	12.917	3.655	282
Object_72	rear_lights_right rear light_0_47	right_rear_light	0.026	-229.408	20.276	183.313	21.002	16.851	1162
Object_75	light_breake_breaklight l_0_49	breaklight_l	0.026	-233.911	21.688	164.439	6.624	0.964	302
Object_78	chrome_foglight_r_foglight r_0_51	breaklight_l	81.107	209.945	7.477	16.911	25.264	10.502	787
Object_81	chrome_foglight_l_foglight l_0_53	breaklight_l	-81.056	209.945	7.477	16.911	25.264	10.502	787
Object_84	chrome_Lights_head_l_right front light_0_55	breaklight_l	65.190	224.871	-2.321	19.933	9.417	7.655	170
Object_86	chrome_Lights_head_l_left front light_0_56	right_rear_light	-65.181	224.871	-2.321	19.916	9.416	7.655	167
Object_89	chrome_movsteer_1.0.1_0_58	movsteer_1.0.1	0.026	206.241	8.283	186.216	21.517	8.479	148
Object_92	breake_int_breaklight l_0_60	breaklight_l	0.026	-212.113	49.682	74.785	8.477	1.306	413
Object_95	aluminium_light_aluminium_light.0_0_62	aluminium_light.0	0.026	218.516	2.786	185.050	47.542	19.857	2644
